web-scraper-order,web-scraper-start-url,stars,review,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390658-5590,https://www.taptap.com/app/84683/review?order=default&page=7,width:,14px,不满18不能玩？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390646-5464,https://www.taptap.com/app/84683/review?order=default&page=13,width:,42px,这图标是不是抄荣耀战魂的剑圣吗？？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390637-5372,https://www.taptap.com/app/84683/review?order=default&page=17,width:,42px,卑弥呼vs三国更史实一些,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390669-5687,https://www.taptap.com/app/84683/review?order=default&page=2,width:,14px,好垃圾啊。剧情新手指引又臭又长扣一分。虽然说没有VIP但是进去几乎零福利，玩的很不爽扣一分。而且这个剧情太扯淡了没有代入感扣一分。最后两星好评送上。哎呀手滑少了一颗呢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390643-5443,https://www.taptap.com/app/84683/review?order=default&page=14,width:,14px,篡改历史。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390663-5626,https://www.taptap.com/app/84683/review?order=default&page=5,width:,56px,"游戏本身可玩性很高，和同类游戏对比也有部分优势，不讨喜的地方在于强行将两个不同时间线的捏到一起，其实游戏本身的目的无非就是想让战争剧情人物更丰富一点，无可厚非,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390633-5347,https://www.taptap.com/app/84683/review?order=default&page=19,width:,70px,感觉挺像率土的，就希望别和率土一样那么圈钱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390658-5588,https://www.taptap.com/app/84683/review?order=default&page=7,width:,14px,玩个球啊，服务器不改好，你也就配一星。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390637-5370,https://www.taptap.com/app/84683/review?order=default&page=17,width:,70px,论游戏内容我不管，不爱玩这种神豪吊打的游戏。但！这武将画风感觉和率土应该是同一个画师吧感觉？？这点我就挺喜欢的了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390656-5564,https://www.taptap.com/app/84683/review?order=default&page=8,width:,28px,画面劝退……真的玩不下去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390626-5283,https://www.taptap.com/app/84683/review?order=default&page=22,width:,14px,没意思,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390626-5267,https://www.taptap.com/app/84683/review?order=default&page=22,width:,70px,玩过无双大蛇，喜欢这种穿越乱斗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390656-5575,https://www.taptap.com/app/84683/review?order=default&page=8,width:,14px,题材很烂，武将系统很烂，画面很烂，特效很烂，充值系统做的很好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390648-5477,https://www.taptap.com/app/84683/review?order=default&page=12,width:,28px,不能玩吗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390671-5698,https://www.taptap.com/app/84683/review?order=default&page=1,width:,14px,见面就给我个bug，真好，改名改不了，一动也不动，我网络好的很。非常好，本来想清楚数据重新进去选区看看，但是你游非常优秀，一加载进去还是在卡住的那个界面，连区都换不了。刚刚不死心，重新下载了一次，还是直接咻的一下就进到我卡的界面了，我是进游戏改名的时候出bug了，改不了名就一直卡在那，内测了这么久，公测还能炸，牛逼。就是纯心不想让我们玩？虽然我卡着动不了，但是我还是看到公屏一直有人在聊天，系统播报一堆抽到五星的，难道是让我们给拖让会儿路？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390630-5319,https://www.taptap.com/app/84683/review?order=default&page=20,width:,56px,看这图片八成跟率土一个样吧。氪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390635-5350,https://www.taptap.com/app/84683/review?order=default&page=18,width:,70px,开局一张图，内容全靠猜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390641-5418,https://www.taptap.com/app/84683/review?order=default&page=15,width:,42px,九州劫你搞个日本武士的图标,我还以为是打鬼子的呢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390650-5504,https://www.taptap.com/app/84683/review?order=default&page=11,width:,56px,要是放在以前都这种游戏我看都不会看，但是我室友带我入坑的率土之滨到九州劫，emmm，真香，画面剧情都很好，但还是有不足，四星鼓励，继续加油,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390646-5460,https://www.taptap.com/app/84683/review?order=default&page=13,width:,70px,游戏的双沙盘模式，前期有几十个小时堪比单机的剧情模式，着实很厉害。并且图标作为两种文化碰撞的展现，看起来是那种让人眼前一亮的感觉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390650-5493,https://www.taptap.com/app/84683/review?order=default&page=11,width:,70px,邀请码12109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390639-5404,https://www.taptap.com/app/84683/review?order=default&page=16,width:,14px,多益？徐某人曾誓言要当信长来着，最后的样子实在无法恭维。抱歉，告辞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390650-5496,https://www.taptap.com/app/84683/review?order=default&page=11,width:,70px,这是卡牌吗？我咋看着像卡牌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390654-5548,https://www.taptap.com/app/84683/review?order=default&page=9,width:,42px,明智光秀为什么不是吴克,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390635-5357,https://www.taptap.com/app/84683/review?order=default&page=18,width:,70px,先给五星满怀期待，希望不要出氪金玩法充钱是大佬的游戏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390661-5600,https://www.taptap.com/app/84683/review?order=default&page=6,width:,28px,进图画面就很难受,,白期待一场,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390663-5625,https://www.taptap.com/app/84683/review?order=default&page=5,width:,70px,进官网今天之前预约填邀请码11412，开服领4星。https://jz.duoyi.com/act/yuyue/v1/m/?camp=11412&from=yuyue速度来三缺二,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390646-5459,https://www.taptap.com/app/84683/review?order=default&page=13,width:,14px,这个游戏让我想起信长之野望系列悄然改变了一个网管少年的价值观，而现实又像三国，尔虞我诈分分合合，本能寺之变，全部人都讨厌我，究竟是不是我的人品作风有问题？影响企业文化又诞生出这种作品，当他登陆这个游戏是否会想起当初在网吧通宵剧情的快乐呢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390635-5369,https://www.taptap.com/app/84683/review?order=default&page=18,width:,28px,看那个地就感觉发展模式像率土。。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390628-5302,https://www.taptap.com/app/84683/review?order=default&page=21,width:,70px,给老徐一个5星。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390667-5667,https://www.taptap.com/app/84683/review?order=default&page=3,width:,56px,为毛模拟器能玩，手机就卡在读取服务器目录那，，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390633-5343,https://www.taptap.com/app/84683/review?order=default&page=19,width:,14px,来个五星观望吧希望不会失望感觉一星都多了唉！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390663-5632,https://www.taptap.com/app/84683/review?order=default&page=5,width:,70px,12290缺三人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390665-5655,https://www.taptap.com/app/84683/review?order=default&page=4,width:,14px,这还没进去就炸了？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390661-5605,https://www.taptap.com/app/84683/review?order=default&page=6,width:,14px,不是说10点开？等了那么久。瞎扯淡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390643-5436,https://www.taptap.com/app/84683/review?order=default&page=14,width:,56px,率土没玩下去的原因就是战斗画面太简陋,不知道这个游戏战斗画面怎么样,武将有没有独立模型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390648-5478,https://www.taptap.com/app/84683/review?order=default&page=12,width:,56px,玩过了,还行╮(￣▽￣)╭,不算很好,也不算很差,立绘不错(*๓´╰╯`๓)♡,不过我也不是很推荐就是不知道以后会不会吸取大家的意见改改,,,,,给4星鼓励下,真的希望国内,能细水长流,,而不是一步到位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390635-5362,https://www.taptap.com/app/84683/review?order=default&page=18,width:,70px,四分期待吧。感觉和率土很像但是率图模式之前玩了感觉太肝了一点而且战斗太单调。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390652-5517,https://www.taptap.com/app/84683/review?order=default&page=10,width:,14px,看到这个游戏名，加上伊达政宗的头像，颇感无语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390663-5628,https://www.taptap.com/app/84683/review?order=default&page=5,width:,14px,满怀期待的来，骂骂咧咧的走。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390650-5502,https://www.taptap.com/app/84683/review?order=default&page=11,width:,14px,还是去玩率土之滨吧，你关了夜战，无形中拉大了氪金玩家和平民的差距，本来靠肝可以打过氪金玩家，结果现在肝也不让肝了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390641-5424,https://www.taptap.com/app/84683/review?order=default&page=15,width:,70px,没玩过先给个五星好评，但是希望官方不要让大家失望，率土之滨我玩过很久，已经玩不动了，率土的有些东西还是可以借鉴的，比如率土的策略性，真的很风云变幻。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390635-5363,https://www.taptap.com/app/84683/review?order=default&page=18,width:,42px,哦……率师之滨啊,抠鼻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390671-5709,https://www.taptap.com/app/84683/review?order=default&page=1,width:,42px,也不是很糟，愿意给好评鼓励一下。玩过无双大蛇的都知道背景故事就是一个框架，重点是游戏让人感到愉悦。玩法上其实比率土之滨丰富了许多，就是感觉有点想法多了点，小小的屏幕里有点不够简洁，有点点乱？我觉得新手可能不会很好适应这个设计。还有，那个广告要不做成透明的吧，信件也被挡，武将技能也被挡，实在是烦死了。。。愁死我了，这也太能掉线了，，，两分钟一卡。。。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390667-5668,https://www.taptap.com/app/84683/review?order=default&page=3,width:,70px,12133https://jz.duoyi.com/act/yuyue/v1/m/?camp=12133&from=yuyue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390633-5344,https://www.taptap.com/app/84683/review?order=default&page=19,null,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390654-5555,https://www.taptap.com/app/84683/review?order=default&page=9,width:,70px,游戏已经下好了,坐等开测,等开了之后在回来喷😒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390663-5621,https://www.taptap.com/app/84683/review?order=default&page=5,width:,28px,游戏缺乏大量武将,经验低,40级才能扫荡,并且需要重氪金才能玩,抽奖没有保底,比率土之滨还肝,纯属用脚做游戏,还没公测就开始打算怎么让玩家花钱,测试服不是让人玩的舒服的吗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390654-5543,https://www.taptap.com/app/84683/review?order=default&page=9,width:,42px,11870，差一个，速来,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390626-5275,https://www.taptap.com/app/84683/review?order=default&page=22,width:,70px,很期待,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390646-5472,https://www.taptap.com/app/84683/review?order=default&page=13,width:,42px,看到立绘就不想玩了……和之前玩了几天的梦想帝王一样……别说唉我还真去玩啦几分钟只能说将池太少了？所以不想玩哈哈哈哈还有就是不同武将同样的立绘真的很难接受，就算是给大众脸也给点不一样的吧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390643-5447,https://www.taptap.com/app/84683/review?order=default&page=14,width:,14px,封面图是龙虾，开发商不是暗耻，只能给一星了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390665-5644,https://www.taptap.com/app/84683/review?order=default&page=4,width:,56px,觉得还行吧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390639-5400,https://www.taptap.com/app/84683/review?order=default&page=16,width:,56px,还好不氪，充个月卡随便玩了就,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390648-5474,https://www.taptap.com/app/84683/review?order=default&page=12,width:,70px,非常值得推荐的一款游戏！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390656-5571,https://www.taptap.com/app/84683/review?order=default&page=8,width:,28px,公测，服务器能不能搞好一点，真的是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390637-5377,https://www.taptap.com/app/84683/review?order=default&page=17,width:,70px,这个游戏有没有轮回？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390669-5693,https://www.taptap.com/app/84683/review?order=default&page=2,width:,14px,太扯了，全骑兵出征时间还这么长，还有那建筑升级时间是认真的吗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390656-5574,https://www.taptap.com/app/84683/review?order=default&page=8,width:,70px,https://jz.duoyi.com/act/yuyue/v1/m/?camp=12003&from=yuyue组队就差你,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390669-5681,https://www.taptap.com/app/84683/review?order=default&page=2,width:,70px,首发免费5星文丑😏据说有动态立绘，但不是所有的将都有。那我就想问文丑这么丑，会有动态立绘吗？滑稽还有颜良呢？我刚搜索看了一下，颜值也是……但毕竟人家叫颜“良”啊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390630-5316,https://www.taptap.com/app/84683/review?order=default&page=20,width:,56px,我要远吕智！我不，我就要远吕智！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390637-5374,https://www.taptap.com/app/84683/review?order=default&page=17,width:,28px,辣眼睛，没看到创新，只看到抄。各种华丽抄袭。让我想到衰吐，COK。部落。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390648-5486,https://www.taptap.com/app/84683/review?order=default&page=12,width:,56px,游戏很期待,,对历史类游戏很感兴趣但是,,一群无脑小粉红在这里喷啥呢？玩个游戏扯东扯西，你真要说历史啥的建议去图书馆多读几本书再来说吧。说啥日本战国村长打架的，说好听点是历史虚无主义，说不好听就是憨憨,张口就来。怎么,,很优越吗？中华上下五千年历史是靠你们嘴吹的？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390633-5348,https://www.taptap.com/app/84683/review?order=default&page=19,width:,70px,很期待日本战国时期与我华夏三国时代激情碰撞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390667-5674,https://www.taptap.com/app/84683/review?order=default&page=3,width:,14px,垃圾，游戏体验贼差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390652-5536,https://www.taptap.com/app/84683/review?order=default&page=10,width:,14px,？？？这个图标好像荣耀战魂里的剑圣啊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390661-5597,https://www.taptap.com/app/84683/review?order=default&page=6,width:,70px,邀请码12115,,差两人一起领大礼包https://jz.duoyi.com/act/yuyue/v1/m/?camp=12115&from=yuyue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390633-5334,https://www.taptap.com/app/84683/review?order=default&page=19,width:,70px,氪是氪，肝是肝，不要差距太大。别让肝的永远干不过氪。五分期待,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390663-5630,https://www.taptap.com/app/84683/review?order=default&page=5,width:,14px,进不去玩个鸟蛋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390661-5613,https://www.taptap.com/app/84683/review?order=default&page=6,width:,70px,https://jz.duoyi.com/act/yuyue/v1/m/?camp=11600&from=yuyue一起拿奖励,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390626-5268,https://www.taptap.com/app/84683/review?order=default&page=22,width:,14px,不行的游戏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390652-5524,https://www.taptap.com/app/84683/review?order=default&page=10,width:,14px,九州劫？,你怎么不叫华夏乱呢？还三国vs幕府,你给我整笑了,这有可比性？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390656-5562,https://www.taptap.com/app/84683/review?order=default&page=8,width:,70px,https://jz.duoyi.com/act/yuyue/v1/m/?camp=12546&from=yuyue12546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390648-5479,https://www.taptap.com/app/84683/review?order=default&page=12,width:,70px,满分,其实画面还好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390652-5535,https://www.taptap.com/app/84683/review?order=default&page=10,width:,70px,光看,,游戏上面的视频介绍,,还是,非常期待的(｡･ω･｡),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390654-5547,https://www.taptap.com/app/84683/review?order=default&page=9,width:,14px,不能再多了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390658-5577,https://www.taptap.com/app/84683/review?order=default&page=7,width:,56px,游戏整体内容还是可以的,具体的一些游戏性上的东西可以更好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561390650-5514,https://www.taptap.com/app/84683/review?order=default&page=11,width:,14px,进不去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
